榴芒电视 ,#genre#
CCTV11,http://120.234.44.98:18180/TV00000000000000000001@HHZT
CCTV2,http://120.234.44.98:18180/TV00000000000000000002@HHZT
CCTV3,http://120.234.44.98:18180/TV00000000000000000003@HHZT
CCTV5,http://120.234.44.98:18180/TV00000000000000000005@HHZT
山西卫视,http://120.234.44.98:18180/TV00000000000000000006@HHZT
凤凰卫视,http://120.234.44.98:18180/TV00000000000000000008@HHZT
凤凰国际,http://120.234.44.98:18180/TV00000000000000000009@HHZT
云南卫视,http://120.234.44.98:18180/TV00000000000000000012@HHZT
CCTV14,http://120.234.44.98:18180/TV00000000000000000014@HHZT
黑龙岗卫视,http://120.234.44.98:18180/TV00000000000000000016@HHZT
RHK32,http://120.234.44.98:18180/TV00000000000000000017@HHZT
大湾区卫视,http://120.234.44.98:18180/TV00000000000000000018@HHZT
RHK31,http://120.234.44.98:18180/TV00000000000000000019@HHZT
CETV2,http://120.234.44.98:18180/TV00000000000000000020@HHZT
嘉佳卡通,http://120.234.44.98:18180/TV00000000000000000021@HHZT
凤凰香港台,http://120.234.44.98:18180/TV00000000000000000024@HHZT
广东卫视,http://120.234.44.98:18180/TV00000000000000000025@HHZT
广东珠江台,http://120.234.44.98:18180/TV00000000000000000026@HHZT
河北卫视,http://120.234.44.98:18180/TV00000000000000000029@HHZT
广州GZ,http://120.234.44.98:18180/TV00000000000000000030@HHZT
岭南戏曲,http://120.234.44.98:18180/TV00000000000000000031@HHZT
翡翠台,http://120.234.44.98:18180/TV00000000000000000032@HHZT
明珠台,http://120.234.44.98:18180/TV00000000000000000035@HHZT
HOY77,http://120.234.44.98:18180/TV00000000000000000036@HHZT
Viutv,http://120.234.44.98:18180/TV00000000000000000037@HHZT
江西卫视,http://120.234.44.98:18180/TV00000000000000000038@HHZT
辽宁卫视,http://120.234.44.98:18180/TV00000000000000000039@HHZT
深圳电视,http://120.234.44.98:18180/TV00000000000000000041@HHZT
深圳少儿,http://120.234.44.98:18180/TV00000000000000000043@HHZT
CCTV16,http://120.234.44.98:18180/TV00000000000000000044@HHZT
RHK35,http://120.234.44.98:18180/TV00000000000000000045@HHZT
广东少儿,http://120.234.44.98:18180/TV00000000000000000046@HHZT
广东经济科教,http://120.234.44.98:18180/TV00000000000000000047@HHZT
深圳都市频道,http://120.234.44.98:18180/TV00000000000000000048@HHZT
51[1280*720],http://120.234.44.98:18180/TV00000000000000000052@HHZT
江苏卫视,http://120.234.44.98:18180/TV00000000000000000053@HHZT
53[1920*1080],http://120.234.44.98:18180/TV00000000000000000054@HHZT
55[1920*1080],http://120.234.44.98:18180/TV00000000000000000056@HHZT
56[1920*1080],http://120.234.44.98:18180/TV00000000000000000057@HHZT
57[1920*1080],http://120.234.44.98:18180/TV00000000000000000058@HHZT
58[1920*1080],http://120.234.44.98:18180/TV00000000000000000059@HHZT
59[1920*1080],http://120.234.44.98:18180/TV00000000000000000060@HHZT
60[1920*1080],http://120.234.44.98:18180/TV00000000000000000061@HHZT
61[1920*1080],http://120.234.44.98:18180/TV00000000000000000062@HHZT
62[1920*1080],http://120.234.44.98:18180/TV00000000000000000063@HHZT
63[1280*720],http://120.234.44.98:18180/TV00000000000000000064@HHZT
64[1920*1080],http://120.234.44.98:18180/TV00000000000000000065@HHZT
65[1920*1080],http://120.234.44.98:18180/TV00000000000000000066@HHZT
66[1920*1080],http://120.234.44.98:18180/TV00000000000000000067@HHZT
67[1920*1080],http://120.234.44.98:18180/TV00000000000000000068@HHZT
68[1920*1080],http://120.234.44.98:18180/TV00000000000000000069@HHZT
69[1280*720],http://120.234.44.98:18180/TV00000000000000000070@HHZT
70[1920*1080],http://120.234.44.98:18180/TV00000000000000000071@HHZT
71[1920*1080],http://120.234.44.98:18180/TV00000000000000000072@HHZT
72[1920*1080],http://120.234.44.98:18180/TV00000000000000000073@HHZT
73[1920*1080],http://120.234.44.98:18180/TV00000000000000000074@HHZT
74[1920*1080],http://120.234.44.98:18180/TV00000000000000000075@HHZT
75[850*480],http://120.234.44.98:18180/TV00000000000000000076@HHZT
80[1920*1080],http://120.234.44.98:18180/TV00000000000000000081@HHZT
81[1920*1080],http://120.234.44.98:18180/TV00000000000000000082@HHZT
82[1920*1080],http://120.234.44.98:18180/TV00000000000000000083@HHZT
83[1920*1080],http://120.234.44.98:18180/TV00000000000000000084@HHZT
87[1280*720],http://120.234.44.98:18180/TV00000000000000000088@HHZT
